slugTeam,slugOpponent,dateGame,isWin,isB2BSecond,idGame,idHTeam,pctAST_l1_A,pctAST_l1_H,pctOREB_l1_A,pctOREB_l1_H,pctDREB_l1_A,pctDREB_l1_H,pctTREB_l1_A,pctTREB_l1_H,pctTOVE_l1_A,pctTOVE_l1_H,pctTOVTeam_l1_A,pctTOVTeam_l1_H,pctEFG_l1_A,pctEFG_l1_H,pctTS_l1_A,pctTS_l1_H,pctUSGE_l1_A,pctUSGE_l1_H,minExact_l1_A,minExact_l1_H,ortgE_l1_A,ortgE_l1_H,ortg_l1_A,ortg_l1_H,drtgE_l1_A,drtgE_l1_H,drtg_l1_A,drtg_l1_H,netrtgE_l1_A,netrtgE_l1_H,netrtg_l1_A,netrtg_l1_H,ratioASTtoTOV_l1_A,ratioASTtoTOV_l1_H,ratioAST_l1_A,ratioAST_l1_H,paceE_l1_A,paceE_l1_H,pace_l1_A,pace_l1_H,pacePer40PACE_PER40_l1_A,pacePer40PACE_PER40_l1_H,possessions_l1_A,possessions_l1_H,ratioPIE_l1_A,ratioPIE_l1_H,pctAST_l2_A,pctAST_l2_H,pctOREB_l2_A,pctOREB_l2_H,pctDREB_l2_A,pctDREB_l2_H,pctTREB_l2_A,pctTREB_l2_H,pctTOVE_l2_A,pctTOVE_l2_H,pctTOVTeam_l2_A,pctTOVTeam_l2_H,pctEFG_l2_A,pctEFG_l2_H,pctTS_l2_A,pctTS_l2_H,pctUSGE_l2_A,pctUSGE_l2_H,minExact_l2_A,minExact_l2_H,ortgE_l2_A,ortgE_l2_H,ortg_l2_A,ortg_l2_H,drtgE_l2_A,drtgE_l2_H,drtg_l2_A,drtg_l2_H,netrtgE_l2_A,netrtgE_l2_H,netrtg_l2_A,netrtg_l2_H,ratioASTtoTOV_l2_A,ratioASTtoTOV_l2_H,ratioAST_l2_A,ratioAST_l2_H,paceE_l2_A,paceE_l2_H,pace_l2_A,pace_l2_H,pacePer40PACE_PER40_l2_A,pacePer40PACE_PER40_l2_H,possessions_l2_A,possessions_l2_H,ratioPIE_l2_A,ratioPIE_l2_H,pctAST_l1_m3_A,pctAST_l1_m3_H,pctOREB_l1_m3_A,pctOREB_l1_m3_H,pctDREB_l1_m3_A,pctDREB_l1_m3_H,pctTREB_l1_m3_A,pctTREB_l1_m3_H,pctTOVE_l1_m3_A,pctTOVE_l1_m3_H,pctTOVTeam_l1_m3_A,pctTOVTeam_l1_m3_H,pctEFG_l1_m3_A,pctEFG_l1_m3_H,pctTS_l1_m3_A,pctTS_l1_m3_H,pctUSGE_l1_m3_A,pctUSGE_l1_m3_H,minExact_l1_m3_A,minExact_l1_m3_H,ortgE_l1_m3_A,ortgE_l1_m3_H,ortg_l1_m3_A,ortg_l1_m3_H,drtgE_l1_m3_A,drtgE_l1_m3_H,drtg_l1_m3_A,drtg_l1_m3_H,netrtgE_l1_m3_A,netrtgE_l1_m3_H,netrtg_l1_m3_A,netrtg_l1_m3_H,ratioASTtoTOV_l1_m3_A,ratioASTtoTOV_l1_m3_H,ratioAST_l1_m3_A,ratioAST_l1_m3_H,paceE_l1_m3_A,paceE_l1_m3_H,pace_l1_m3_A,pace_l1_m3_H,pacePer40PACE_PER40_l1_m3_A,pacePer40PACE_PER40_l1_m3_H,possessions_l1_m3_A,possessions_l1_m3_H,ratioPIE_l1_m3_A,ratioPIE_l1_m3_H,pctAST_l1_m5_A,pctAST_l1_m5_H,pctOREB_l1_m5_A,pctOREB_l1_m5_H,pctDREB_l1_m5_A,pctDREB_l1_m5_H,pctTREB_l1_m5_A,pctTREB_l1_m5_H,pctTOVE_l1_m5_A,pctTOVE_l1_m5_H,pctTOVTeam_l1_m5_A,pctTOVTeam_l1_m5_H,pctEFG_l1_m5_A,pctEFG_l1_m5_H,pctTS_l1_m5_A,pctTS_l1_m5_H,pctUSGE_l1_m5_A,pctUSGE_l1_m5_H,minExact_l1_m5_A,minExact_l1_m5_H,ortgE_l1_m5_A,ortgE_l1_m5_H,ortg_l1_m5_A,ortg_l1_m5_H,drtgE_l1_m5_A,drtgE_l1_m5_H,drtg_l1_m5_A,drtg_l1_m5_H,netrtgE_l1_m5_A,netrtgE_l1_m5_H,netrtg_l1_m5_A,netrtg_l1_m5_H,ratioASTtoTOV_l1_m5_A,ratioASTtoTOV_l1_m5_H,ratioAST_l1_m5_A,ratioAST_l1_m5_H,paceE_l1_m5_A,paceE_l1_m5_H,pace_l1_m5_A,pace_l1_m5_H,pacePer40PACE_PER40_l1_m5_A,pacePer40PACE_PER40_l1_m5_H,possessions_l1_m5_A,possessions_l1_m5_H,ratioPIE_l1_m5_A,ratioPIE_l1_m5_H
NYK,GSW,2018-10-26,FALSE,FALSE,21800068,1610612752,0.698,0.606,0.3,0.213,0.808,0.809,0.587,0.472,16.216,12.102,16.2,11.9,0.658,0.429,0.699,0.448,0.195,0.202,240,240,129.7,87.7,129.7,86.1,110.6,106.5,109.9,110,19.1,-18.7,19.8,-23.9,2.06,1.67,23.4,15.5,110.66,101.24,111,100.5,92.5,83.75,111,101,0.62,0.33,0.778,0.489,0.217,0.327,0.723,0.625,0.473,0.477,13.153,11.257,13.5,11.8,0.591,0.505,0.618,0.535,0.199,0.199,240,240,115.6,106,118.3,110.8,100.1,120.9,98.1,120.4,15.5,-14.9,20.2,-9.6,2.5,1.83,23.6,15.8,104.68,104.58,104.5,102.5,87.08,85.42,104,102,0.591,0.44,0.6956666666666667,0.578,0.24333333333333332,0.268,0.7403333333333333,0.7313333333333334,0.512,0.48466666666666663,15.965,12.920333333333334,16.233333333333334,13.133333333333333,0.583,0.4723333333333333,0.6213333333333333,0.498,0.197,0.20033333333333334,240,240,113.63333333333333,96.96666666666667,115.33333333333333,98.63333333333333,103.06666666666666,109.96666666666667,102.33333333333333,110.13333333333334,10.533333333333333,-12.933333333333334,13,-11.5,1.9066666666666667,1.6466666666666667,21.3,16,105.78666666666666,102.67333333333333,105.33333333333333,101.83333333333333,87.77666666666667,84.86333333333333,105,101.66666666666667,0.564,0.414,0.661,0.512,0.2752,0.271,0.713,0.7234,0.5154,0.4766,16.6164,11.0692,16.9,11.36,0.5698,0.476,0.6084,0.5098,0.198,0.19940000000000002,240,240,112.47999999999999,101.12,114.02,103.56,103.28,107,104.48,107.54,9.18,-5.84,9.56,-3.9999999999999996,1.748,2.184,20.38,14.68,105.96,104.196,104.6,102.7,87.166,85.584,104.4,102.6,0.564,0.4562
MIL,ORL,2018-10-27,TRUE,TRUE,21800081,1610612749,0.674,0.653,0.267,0.159,0.714,0.747,0.483,0.537,14.315,16.691,14.4,16.5,0.57,0.636,0.601,0.645,0.197,0.199,240,240,116.6,115.9,117.5,114.7,131.4,85.6,132,86.4,-14.8,30.3,-14.4,28.3,2.07,1.78,21,21.8,97.62,109.38,97,109.5,80.83,91.25,97,109,0.46,0.683,0.737,0.585,0.228,0.233,0.782,0.767,0.5,0.5,9.146,9.549,9.3,10.1,0.462,0.475,0.477,0.543,0.199,0.196,240,240,94.5,106.8,95.9,112.8,91.9,95.4,94.7,98.2,2.6,11.4,1.1,14.7,3.11,2.18,20.8,16.2,98.18,114.2,96,109.5,80,91.25,97,109,0.526,0.561,0.7223333333333334,0.6126666666666667,0.2866666666666667,0.25566666666666665,0.7453333333333333,0.729,0.5106666666666667,0.52,13.065666666666667,13.622,13.4,13.733333333333333,0.5253333333333333,0.556,0.5516666666666666,0.59,0.19666666666666668,0.197,240,240,108.06666666666666,114.53333333333333,110.66666666666667,115.96666666666667,114.96666666666667,95.66666666666667,115.43333333333334,98.46666666666667,-6.9,18.866666666666667,-4.766666666666667,17.53333333333333,2.373333333333333,1.9200000000000002,20.96666666666667,18.733333333333334,98.11333333333334,109.38666666666667,96.66666666666667,107.16666666666667,80.55333333333333,89.30666666666667,97,107,0.4926666666666667,0.6013333333333334,0.636,0.6142,0.2824,0.2796,0.7162,0.7488,0.4922,0.5362,13.5024,15.3606,13.84,15.58,0.4886,0.5618,0.5154,0.5898,0.19640000000000002,0.1978,240,240,101.1,112.3,103.52,114.22,110.3,97.9,111.74,100.42,-9.18,14.38,-8.22,13.8,1.958,1.718,18.080000000000002,18.64,101.49600000000001,107.892,99.5,105.6,82.914,88,99.6,105.6,0.47240000000000004,0.5916
CLE,IND,2018-10-27,FALSE,FALSE,21800077,1610612739,0.739,0.439,0.19,0.184,0.679,0.585,0.463,0.367,10.469,9.221,10.8,9.4,0.626,0.506,0.641,0.539,0.197,0.199,240,240,121.4,105.5,124.7,107.3,101.9,112.5,103.2,113.4,19.6,-7,21.5,-6.1,3.4,2,25.3,14.7,94.88,97.68,93,96.5,77.5,80.42,93,96,0.631,0.457,0.5,0.529,0.288,0.309,0.694,0.765,0.472,0.528,14.7,15.783,15.3,15.3,0.435,0.399,0.459,0.448,0.2,0.2,240,240,89.2,90.5,92.9,87.8,98.5,102.4,102,105.2,-9.3,-11.9,-9.2,-17.4,1.2,1.2,13.6,13.9,102.3,97.32,98.5,97.5,82.08,81.25,98,98,0.363,0.415,0.5503333333333333,0.48933333333333334,0.25766666666666665,0.2793333333333333,0.68,0.6916666666666667,0.4746666666666667,0.47433333333333333,11.960666666666667,13.882,12.3,13.933333333333334,0.5673333333333334,0.47333333333333333,0.583,0.505,0.19866666666666669,0.199,240,240,113.06666666666666,99.53333333333333,115.66666666666667,100.26666666666667,101.8,112.16666666666667,105,114.7,11.3,-12.633333333333333,10.633333333333335,-14.433333333333334,2.17,1.4933333333333334,18.2,14.766666666666666,100.62,101.25333333333333,97.83333333333333,99.83333333333333,81.52666666666667,83.19666666666667,97.66666666666667,99.66666666666667,0.5243333333333333,0.418,0.5272,0.5092,0.2918,0.3028,0.6942,0.7148,0.504,0.4974,14.536399999999999,14.0242,14.88,14.18,0.56,0.4776,0.5772,0.5212,0.1986,0.1996,240,240,109.94,102.72,112.32000000000001,103.96,99.6,114.26,103.18,116.5,10.36,-11.54,9.16,-12.56,1.756,1.48,17.3,14.94,101.388,102.864,98.4,101.3,81.998,84.418,98.2,101.2,0.532,0.4226
PHI,CHA,2018-10-27,TRUE,FALSE,21800078,1610612755,0.566,0.763,0.325,0.233,0.784,0.767,0.582,0.5,11.876,14.134,11.9,14.5,0.645,0.473,0.675,0.513,0.195,0.2,240,240,133.6,95.4,133.7,98.2,105.3,106.8,107.1,112.8,28.3,-11.4,26.6,-14.7,2.5,1.81,21.1,19.3,100.86,114.2,100,109.5,83.33,91.25,101,110,0.653,0.439,0.622,0.653,0.26,0.255,0.69,0.661,0.457,0.478,8.183,9.707,8.4,9.9,0.494,0.571,0.563,0.598,0.195,0.198,240,265,112.5,116.5,115.8,118.9,115,114.8,117.9,120.9,-2.5,1.7,-2.1,-2,2.88,2.91,17.9,20.9,97.58,103.79,95,100.08,79.17,83.4,95,111,0.496,0.542,0.5666666666666667,0.7163333333333334,0.2926666666666667,0.24933333333333335,0.7346666666666667,0.6876666666666666,0.5006666666666667,0.47633333333333333,10.573,11.441,10.766666666666667,11.566666666666666,0.536,0.5376666666666666,0.581,0.5666666666666667,0.19666666666666668,0.199,240,248.33333333333334,116.36666666666666,111.16666666666667,118.5,112.23333333333333,114.46666666666667,111.56666666666666,116.5,117.43333333333334,1.8999999999999997,-0.40000000000000013,2.0000000000000004,-5.233333333333333,2.3766666666666665,2.6733333333333333,18.066666666666666,21.166666666666668,100.49333333333334,105.51,98.66666666666667,102.19333333333333,82.22333333333333,85.16,98.66666666666667,106,0.5046666666666667,0.49633333333333335,0.601,0.672,0.2918,0.2396,0.7148,0.726,0.49820000000000003,0.4914,11.7246,12.255,11.9,12.38,0.539,0.5142,0.5772,0.5492,0.19740000000000002,0.1996,240,245,114.64,106.42,116.56,107.5,106.62,105.78,109,110.64,8.02,0.6200000000000001,7.5600000000000005,-3.1599999999999993,2.21,2.292,18.48,19.46,102.19200000000001,106.782,100.2,103.816,83.5,86.514,100.2,106.2,0.536,0.503
DAL,UTA,2018-10-28,FALSE,FALSE,21800084,1610612742,0.696,0.579,0.244,0.298,0.702,0.729,0.5,0.495,11.682,13.946,11.9,14.7,0.58,0.478,0.633,0.522,0.201,0.199,240,240,118.6,99.5,121.1,104.9,98.4,115.1,101.8,112.6,20.2,-15.6,19.3,-7.7,2.46,1.47,21.4,15.8,112.02,104.18,109,102.5,90.83,85.42,109,102,0.664,0.438,0.618,0.658,0.318,0.203,0.778,0.804,0.571,0.496,18.939,15.393,19,15.2,0.5,0.484,0.554,0.508,0.201,0.201,240,240,99.7,94.2,100,92.9,88.9,101.2,89.9,100.9,10.8,-7.1,10.1,-8.1,1.11,1.47,16.1,17.3,100.24,110.04,99.5,111,82.92,92.5,100,112,0.617,0.466,0.645,0.6206666666666667,0.2723333333333333,0.2926666666666667,0.748,0.7666666666666667,0.5266666666666666,0.5143333333333333,15.355333333333334,14.847333333333333,15.566666666666666,15.366666666666665,0.494,0.491,0.5476666666666667,0.5306666666666667,0.2006666666666667,0.19866666666666669,240,240,101.6,101,103.16666666666667,104.66666666666667,93.26666666666667,108,96.16666666666667,107.86666666666666,8.333333333333334,-7.033333333333333,7,-3.2333333333333334,1.59,1.5,17.3,16.866666666666667,103.51333333333334,105.82000000000001,101.16666666666667,104.16666666666667,84.30666666666667,86.80666666666667,101.33333333333333,104.33333333333333,0.5826666666666667,0.49366666666666664,0.6093999999999999,0.6382,0.266,0.3,0.774,0.7752,0.5266,0.5138,15.495800000000001,13.5954,15.780000000000001,14.059999999999999,0.5278,0.5098,0.5778,0.5458000000000001,0.20020000000000002,0.199,240,240,106.42,106.06,108.56,109.54,101.94,114.7,103.4,114.92,4.4799999999999995,-8.66,5.12,-5.4,1.484,1.884,16.88,17.98,104.74,105.132,102.9,103.4,85.752,86.168,103,103.4,0.551,0.48059999999999997
LAC,WAS,2018-10-28,TRUE,FALSE,21800086,1610612746,0.55,0.395,0.204,0.297,0.704,0.656,0.466,0.52,18.73,14.993,19.3,15.7,0.547,0.62,0.583,0.695,0.2,0.195,240,240,99.9,124.6,102.8,130.4,105.3,106.6,107.4,111.9,-5.4,18,-4.7,18.5,1.05,1.06,15.8,13.2,111.12,106.36,108.5,101.5,90.42,84.58,109,102,0.462,0.612,0.524,0.439,0.192,0.26,0.7,0.707,0.413,0.5,10.877,15.906,10.8,16.3,0.516,0.5,0.579,0.551,0.203,0.198,240,240,110.6,102,109.9,104.8,129.7,108.8,129.7,110.5,-19.1,-6.8,-19.8,-5.7,1.83,1.06,15.8,13.4,110.66,106.74,111,104.5,92.5,87.08,111,104,0.38,0.45,0.5246666666666667,0.45266666666666666,0.19066666666666665,0.292,0.6739999999999999,0.7253333333333333,0.42533333333333334,0.5293333333333333,12.659666666666666,14.571333333333333,12.833333333333334,15,0.5163333333333333,0.54,0.5589999999999999,0.606,0.20033333333333334,0.19733333333333333,248.33333333333334,240,105.06666666666666,113.33333333333333,105.9,116.73333333333333,111.5,108.53333333333333,113.2,111.46666666666667,-6.433333333333334,4.766666666666667,-7.300000000000001,5.266666666666667,1.7266666666666666,1.27,15.5,14.266666666666666,110.77,104.87333333333333,109.39333333333333,102,91.16333333333333,84.99666666666667,113,102,0.44066666666666665,0.536,0.523,0.5116,0.2008,0.2672,0.6432,0.711,0.423,0.5068,12.352,14.3924,12.52,14.64,0.51,0.5126,0.5589999999999999,0.5746,0.19940000000000002,0.1968,245,240,105.84,108.12,107.06,110.08,109.53999999999999,103.84,112.6,105.68,-3.7,4.26,-5.58,4.4,1.672,1.342,15.18,14.86,109.066,104.024,106.936,102.3,89.116,85.248,109.2,102.4,0.4664,0.5282
BKN,GSW,2018-10-28,FALSE,FALSE,21800083,1610612751,0.51,0.605,0.162,0.393,0.692,0.69,0.472,0.544,13.961,19.161,13.9,20.4,0.678,0.536,0.694,0.55,0.198,0.193,240,240,127.6,104.9,126.7,111.7,95.9,111,99,113.6,31.7,-6,27.7,-1.9,1.86,1.24,19.7,17.2,102.28,107.52,101,103,84.17,85.83,101,103,0.672,0.475,0.698,0.605,0.3,0.235,0.808,0.691,0.587,0.472,16.216,14.056,16.2,14.4,0.658,0.517,0.699,0.545,0.195,0.199,240,240,129.7,102.4,129.7,105.2,110.6,90.5,109.9,87.8,19.1,11.9,19.8,17.4,2.06,1.64,23.4,17.6,110.66,97.32,111,97.5,92.5,81.25,111,97,0.62,0.585,0.662,0.6066666666666667,0.22633333333333333,0.32033333333333336,0.741,0.6953333333333332,0.5106666666666666,0.509,14.443333333333333,17.321666666666665,14.533333333333333,18.133333333333333,0.6423333333333333,0.541,0.6703333333333333,0.56,0.19733333333333333,0.19766666666666668,240,240,124.3,104.10000000000001,124.89999999999999,108.9,102.2,110.03333333333333,102.33333333333333,110.26666666666667,22.1,-5.9,22.566666666666666,-1.3666666666666676,2.14,1.3766666666666667,22.233333333333334,17.533333333333335,105.87333333333333,103.17333333333333,105.5,100.83333333333333,87.91666666666667,84.02666666666667,105.33333333333333,100.66666666666667,0.6276666666666667,0.49366666666666664,0.6296,0.623,0.2246,0.3128,0.721,0.7,0.5005999999999999,0.5192,15.4804,18.5932,15.6,19.28,0.6096,0.5428,0.6422,0.5700000000000001,0.1978,0.19740000000000002,240,240,117.8,103.78,118.38,107.66,103.64,107.4,104.86,108.64,14.14,-3.6,13.54,-0.9600000000000006,1.854,1.32,20.64,17.96,105.096,102.176,104.2,99.7,86.834,83.082,104,99.6,0.582,0.512
MIN,LAL,2018-10-29,TRUE,FALSE,21800093,1610612750,0.463,0.528,0.188,0.253,0.735,0.841,0.464,0.463,16.359,7.212,16.5,7.3,0.552,0.366,0.564,0.396,0.202,0.197,240,240,102,85.6,102.9,86.4,107.3,115.9,106.8,114.7,-5.3,-30.3,-3.9,-28.3,1.12,2.38,14.6,12.9,103.24,109.38,103,109.5,85.83,91.25,103,110,0.434,0.318,0.587,0.625,0.271,0.379,0.7,0.711,0.49,0.524,13.069,15.528,13.3,16,0.554,0.495,0.592,0.51,0.2,0.198,240,240,113,101.9,115.2,105,103.8,111.7,107.5,113.1,9.1,-9.8,7.7,-8.1,1.93,1.56,18.9,17.4,108.46,101.66,105.5,99.5,87.92,82.92,105,100,0.553,0.435,0.5680000000000001,0.6066666666666667,0.262,0.31266666666666665,0.7323333333333333,0.7546666666666666,0.4916666666666667,0.505,12.298666666666668,12.455333333333334,12.5,12.833333333333332,0.5586666666666666,0.442,0.5836666666666667,0.47800000000000004,0.2006666666666667,0.19866666666666669,240,240,112.43333333333334,95.33333333333333,114.7,97.8,106.5,105.60000000000001,108,106.9,5.9,-10.266666666666667,6.7,-9.066666666666666,2.4333333333333336,1.8466666666666667,18.633333333333333,16.03333333333333,105.79333333333334,104.44666666666666,104,102.5,86.66666666666667,85.41666666666667,104,103,0.5246666666666666,0.4633333333333333,0.5774,0.5958,0.269,0.2978,0.7323999999999999,0.7146,0.495,0.49560000000000004,11.871400000000001,13.0998,12.16,13.42,0.555,0.4992,0.5766,0.5486,0.1986,0.1988,245,240,111.96,105.76,114.86,107.88,111,110.98,112.64,112.82000000000001,0.9400000000000001,-5.220000000000001,2.22,-4.9,2.41,1.778,18.96,16.74,107.004,106.74,104.858,104.8,87.382,87.334,107,105.2,0.512,0.4864
DEN,NOP,2018-10-29,TRUE,FALSE,21800095,1610612743,0.55,0.478,0.298,0.3,0.756,0.729,0.5,0.51,14.189,17.304,14.7,17.9,0.468,0.533,0.515,0.565,0.2,0.199,240,240,98.4,103.8,101.8,107.5,118.6,113,121.1,115.2,-20.2,-9.1,-19.3,-7.7,1.38,1.16,15.1,15.5,112.02,108.46,109,105.5,90.83,87.92,109,106,0.336,0.447,0.523,0.608,0.31,0.375,0.607,0.766,0.456,0.568,10.432,11.696,10.7,11.9,0.495,0.571,0.535,0.597,0.198,0.199,240,240,111,122.8,113.6,124.8,104.9,110,111.7,110.9,6,12.8,1.9,13.9,2.09,2.58,16,20.9,107.52,102.2,103,101,85.83,84.17,103,101,0.525,0.558,0.541,0.5619999999999999,0.30033333333333334,0.3283333333333333,0.701,0.7606666666666667,0.48533333333333334,0.534,10.708666666666666,12.951333333333332,11,13.233333333333333,0.47500000000000003,0.5153333333333333,0.5246666666666667,0.5469999999999999,0.1996666666666667,0.19833333333333333,240,240,106.06666666666666,108.36666666666666,108.63333333333333,110.43333333333334,108.5,106.2,112.53333333333333,108.03333333333333,-2.4666666666666663,2.233333333333334,-3.9000000000000004,2.4,2.0733333333333333,1.9466666666666668,15.566666666666666,17.3,108.75999999999999,104.22666666666666,105.5,102.33333333333333,87.91333333333333,85.28,105.66666666666667,102.66666666666667,0.4703333333333334,0.508,0.588,0.5886,0.3104,0.31,0.7402,0.7814,0.5204,0.545,11.515,13.2896,11.68,13.52,0.5362,0.506,0.5724,0.5514,0.1998,0.1986,240,240,114.7,108.2,116.28,109.72,109.28,100.58,112.1,101.14,5.3999999999999995,7.640000000000001,4.18,8.58,2.282,1.844,18.32,17.22,108.976,103.956,106.8,103,88.998,85.834,107.2,103.2,0.523,0.5616
MIL,TOR,2018-10-29,TRUE,FALSE,21800092,1610612749,0.523,0.585,0.271,0.19,0.702,0.765,0.505,0.545,12.897,19.604,12.6,19.8,0.544,0.561,0.581,0.613,0.199,0.198,240,240,115.1,105.5,112.6,106.6,99.5,83.9,104.9,85.8,15.6,21.6,7.7,20.8,1.77,1.14,16.9,17.5,104.18,107.8,102.5,106,85.42,88.33,103,106,0.562,0.675,0.565,0.653,0.289,0.159,0.621,0.747,0.476,0.537,16.953,16.691,17.2,16.5,0.579,0.636,0.594,0.645,0.198,0.199,240,240,111.7,115.9,113.1,114.7,101.9,85.6,105,86.4,9.8,30.3,8.1,28.3,1.53,1.78,18.9,21.8,101.66,109.38,99.5,109.5,82.92,91.25,99,109,0.565,0.683,0.6026666666666667,0.6076666666666667,0.27666666666666667,0.194,0.6766666666666666,0.7596666666666667,0.506,0.5273333333333333,14.797,15.281333333333333,14.833333333333332,15.466666666666667,0.5946666666666667,0.5573333333333333,0.619,0.6003333333333334,0.19766666666666668,0.19766666666666668,240,240,116.63333333333333,109.4,116.73333333333333,111.36666666666666,101.46666666666667,88.3,105.3,90.13333333333334,15.166666666666668,21.1,11.433333333333334,21.266666666666666,1.9,1.7,20.266666666666666,18.5,102.96000000000001,110.46,101,108.33333333333333,84.17,90.27666666666667,101.33333333333333,108,0.5873333333333334,0.6396666666666667,0.5808,0.6073999999999999,0.299,0.25680000000000003,0.6922,0.7404000000000001,0.5166,0.5286000000000001,14.6258,15.235199999999999,14.86,15.46,0.5644,0.5588,0.5966,0.592,0.1976,0.19740000000000002,240,240,114.17999999999999,111.62,115.8,113.6,101.92,93.08,105.96000000000001,96.04,12.26,18.54,9.86,17.56,1.758,1.698,18.62,18.44,103.444,108.704,100.7,106.1,83.92,88.416,101,106.2,0.5692,0.6212000000000001
